关键词                  出现次数       过滤原因
------------------------------------------------------------
数据                   158        无意义词
产品                   153        无意义词
开发                   118        无意义词
双休                   72         无意义词
经验                   30         无意义词
方向                   27         无关动词/形容词
项目                   15         无意义词
测试                   12         无意义词
14                   10         纯数字
京东                   10         公司相关词
电商                   9          无意义词
16                   8          纯数字
26                   8          纯数字
实习                   8          无意义词
广州                   7          城市名
兼职                   6          无意义词
北京                   6          城市名
2025                 5          纯数字
以上                   5          无意义词
工作                   5          无意义词
社保                   5          无意义词
金融                   5          无意义词
25                   4          纯数字
公积金                  4          无意义词
待遇                   4          无意义词
技术                   4          无意义词
深圳                   4          城市名
平台                   3          无意义词
杭州                   3          城市名
10                   2          纯数字
2026                 2          纯数字
9000                 2          纯数字
上海                   2          城市名
亚马逊                  2          公司相关词
优先                   2          无意义词
体育                   2          无意义词
分析                   2          无意义词
发展                   2          无意义词
团建                   2          无意义词
天猫                   2          公司相关词
宁波                   2          城市名
岗位                   2          无意义词
应届                   2          无意义词
提供                   2          无关动词/形容词
服务                   2          无意义词
氛围                   2          无意义词
游戏                   2          无意义词
热爱                   2          无关动词/形容词
熟悉                   2          无意义词
百度                   2          公司相关词
福利                   2          无意义词
软件                   2          无意义词
157                  1          纯数字
